,370,acusación,acusado,además,agosto,alzada,antecedentes,análisis,apelación,aplicable,aplicación,art,arts,así,auto,autos,años,base,bien,cada,casación,caso,comisión,conducta,conforme,consecuencia,considerando,constitucional,contradicción,contradictorio,corresponde,cp,cpp,cuanto,cuenta,cumplimiento,código,debe,debido,decir,declaró,defecto,defectos,defectuosa,defensa,delito,delitos,dentro,denuncia,departamental,derecho,derechos,doctrina,efecto,elementos,ello,embargo,errónea,establece,establecido,existe,existencia,fallo,falta,forma,fs,fundamentación,haber,hecho,hechos,homicidio,impugnado,imputado,inc,judicial,juez,juicio,jurídica,justicia,legal,lesiones,ley,manera,marzo,mayo,mediante,ministerio,misma,mismo,momento,motivo,motivos,norma,normas,nº,octubre,oral,parte,partes,particular,pena,penal,persona,precedente,precedentes,presente,previsto,principio,procedimiento,procesal,procesales,proceso,prueba,pruebas,puede,pues,público,recurrente,recurso,recursos,refiere,relación,requisitos,resolución,respecto,restringida,sala,segundo,sentencia,ser,señala,si,sido,siendo,siguientes,sino,situación,supremo,supremos,sustantiva,tiempo,tipo,toda,tribunal,tribunales,valoración,vez,vista,vta,víctima
ministerio,17845,36759,21482,30236,21644,82018,21490,32738,108748,16907,47124,166817,46980,40893,184560,32527,29308,21717,28021,22900,67691,69846,28630,35349,38542,24425,10724,23651,32569,18962,20375,52854,99591,28249,31049,17086,36370,51065,64979,31073,13956,41701,18575,27585,33007,92482,46326,26461,39293,14056,75650,35991,36215,18763,25013,33342,26530,20699,21626,22776,16587,22970,24133,31630,40427,84200,60231,28098,75189,74285,18115,31872,44121,36277,33568,33208,63935,20647,54830,52015,47631,53196,51103,18530,35726,33871,0,21865,37073,17756,67399,24378,32012,23184,13711,20057,18750,73286,21900,17212,53367,160366,39832,32828,27182,55475,32038,42232,37549,43094,20035,119639,94545,30385,33471,29529,43978,58712,133756,19918,18972,65867,24864,60530,48377,57220,41506,21100,222139,65182,22971,64156,25407,29017,13827,33179,18333,72760,17310,16861,32765,36619,15273,248636,17521,40406,18333,101406,30453,24253
misma,19167,39432,22276,30549,18998,86868,17305,30660,103687,18389,48859,159346,43611,42137,163923,29573,22552,22832,28774,22124,56415,64813,27413,37140,35454,24675,8753,19861,30722,19596,18610,56680,94162,27195,28349,14872,30789,51123,67699,31479,11659,43496,17797,20703,31054,93334,45724,23624,39645,10176,75079,29681,37929,17745,27497,34649,26263,21555,20110,19656,16048,23144,24895,31254,39202,39315,65868,29585,81058,85592,13155,30503,41214,34800,26329,28319,63741,21651,40655,51135,51646,47419,55094,14422,28571,14555,21865,0,35556,18118,73207,23325,33366,23456,10429,13831,15086,66085,19548,14799,52706,140913,41238,32220,25658,49307,27417,45381,26652,27111,15981,102214,96382,32013,33495,28387,26939,56396,109054,16587,19848,66537,21117,55787,54294,51326,34365,19862,221690,65014,24283,64257,25584,31816,10189,35026,17158,67209,16426,17865,28460,40883,14930,236970,15311,42603,17476,101181,15772,17657
mismo,29187,65068,36279,50861,32937,145001,29675,49631,170262,28922,73186,258805,73042,70508,267708,49005,38907,35095,51121,36872,92469,103538,46575,65119,57944,38160,13842,30109,52203,30353,31029,98676,150060,45139,46212,25312,52263,82076,114733,53913,19223,74906,28241,35253,51565,161809,79193,38762,67221,15507,125202,47414,62646,27664,45018,60415,46365,34894,29692,32738,25829,36982,41322,51799,66001,70825,102599,51824,133654,140440,19418,50769,65992,56326,43538,48576,96187,33884,67143,85977,94197,75699,90518,22613,49996,27717,37073,35556,0,28634,127109,38426,54781,39822,17362,22478,23506,109365,30747,25032,90598,236780,75438,52921,41413,84188,44666,68195,45642,43079,26415,173149,155108,52128,55607,48502,45235,93121,183800,27147,29060,111429,37449,87642,78710,85585,56415,34353,366772,104673,34615,110983,43292,47557,16807,59200,26653,107389,26774,29587,50362,71532,22292,383201,24070,67622,27929,162780,28277,26055
momento,16875,30008,19417,25832,15145,71289,15801,26367,84072,14533,39115,130172,36284,34731,130688,23798,19757,18582,24351,18421,48680,51416,22647,33176,30326,20183,8434,14325,25791,15032,15716,48897,76435,24623,23700,12483,27480,41370,52091,25281,10534,35410,14718,16276,25953,77791,34957,19880,32510,9337,60394,22892,30562,15594,24169,28036,21088,18698,16203,16372,13454,19354,20813,26068,32682,31755,56191,23946,69639,68366,11883,25229,37044,28626,21799,23971,51537,18068,35073,42060,39969,40331,44142,11503,21219,11996,17756,18118,28634,0,57377,20173,26205,19173,8185,10663,14025,55012,16762,12604,48284,120291,33131,25271,20992,40661,23234,34818,23116,21553,13912,80312,84292,27093,27182,23168,22354,46837,91499,15470,14877,53861,16689,44361,42414,42850,29919,16289,181365,53930,17400,53364,20815,24913,9372,28983,14058,55199,13220,15746,23323,35188,13686,195995,13000,37085,15435,80702,12917,17906
motivo,63451,160374,75373,111102,77542,350994,60774,104127,382804,63692,145575,558569,170709,156408,563417,106418,79378,68283,117588,80789,150069,208270,100563,141596,114731,78348,16952,58966,122534,62960,66804,248147,352380,93795,102114,56090,63155,165323,309462,131161,37084,193669,65488,79780,129424,376716,189581,75661,178142,23120,288849,100410,141292,51077,93845,154475,122861,78264,50904,71052,53702,76768,93880,125143,146908,86833,223979,131666,293713,327667,22974,117024,113946,134493,72477,79006,190811,59113,103680,192162,261231,136335,211908,38658,116506,37119,67399,73207,127109,57377,0,89335,123572,93482,11444,41919,40640,232572,50494,46503,209767,427233,206321,123078,89198,204256,84615,139863,64012,62836,47383,395349,328426,122937,126062,109435,80548,224488,355593,50985,62137,271622,98459,180027,158788,188964,95360,83538,827311,228581,77800,272499,103818,101871,23414,133499,52230,201906,64316,61571,123535,168306,35065,810399,37461,137675,49176,361732,38681,34924
motivos,22963,40823,25169,35001,21635,103380,20563,35117,124997,20480,51002,176671,49714,45634,183418,34261,23985,23789,32276,25927,65105,68168,29749,40491,41068,25872,9429,18467,37800,20516,21378,65584,109859,32244,31256,16887,32934,54504,77356,35677,14448,53026,22547,24064,34431,104044,47745,26304,48967,12294,82953,31843,43581,20203,31398,39641,31164,25297,20438,22198,18094,26254,28925,37633,44102,41884,76477,33712,89094,90622,13522,36835,44613,41881,29657,30713,68727,23814,47347,59455,58190,51985,61769,15889,30375,15748,24378,23325,38426,20173,89335,0,36949,26494,9472,14615,18196,76123,21415,16290,56451,152666,47598,35906,29601,56944,31768,46919,29804,28019,18390,112412,114458,37597,36132,32320,29581,70106,133988,19374,20151,75469,26034,65953,55588,63872,39552,24122,249676,71708,23231,74859,28520,32160,11729,37861,18136,76032,19618,20873,33059,45850,17143,272070,17483,50019,20082,113899,16933,21149
norma,28682,60613,32844,47499,30083,138023,27594,46994,161788,27605,71761,246037,70373,65157,240736,45917,34844,32334,47931,33867,84560,96455,43692,60528,53677,34497,12365,26831,50019,28282,28379,95848,146290,42452,42280,23943,43964,75435,109239,50559,17852,72046,27800,31244,48194,150624,74110,37027,64729,14198,118025,45225,58244,25325,41941,57494,43561,33605,27311,30096,23965,35240,39279,48974,62146,51757,97115,49157,124767,131297,16611,48453,59054,55502,39451,41322,85995,30547,60847,80449,91279,70926,85440,19677,44557,19311,32012,33366,54781,26205,123572,36949,0,38811,13611,19349,20415,100840,27495,22389,87018,214037,71368,50798,40236,79997,40795,63520,40523,37127,23383,157163,140981,48778,50785,46383,39185,90298,172553,26116,27055,103585,37113,83070,71864,80963,52261,32766,340494,98323,31869,104430,40511,45073,14250,55906,24763,97903,25829,29173,47329,67420,19896,352743,22189,62346,25119,151139,21288,22902
normas,21151,44026,23720,34666,22870,100927,21465,33303,116197,19880,49938,178976,55271,47794,177431,34530,25473,22544,34717,25075,64352,67400,31750,42752,37413,25017,10500,18860,37760,21731,20829,70700,105519,30220,31461,18848,35355,53345,83590,37029,12692,54699,22682,23187,37264,109864,55883,26779,48716,9164,86321,32836,41575,17662,29102,42428,32907,24594,19251,22154,17480,24801,29123,36202,45499,36235,70955,36614,87844,94917,11379,36743,37335,40602,28126,27602,60819,19970,43446,58998,68679,50968,61425,13950,32580,13085,23184,23456,39822,19173,93482,26494,38811,0,12730,13569,14346,73754,19669,15398,65611,153442,54219,39037,31746,59077,29145,43245,31721,24416,18127,117114,103435,36936,36909,32995,28837,69349,129235,18871,19636,78318,30245,57921,51807,59177,37071,24206,250182,70948,23864,77288,29674,31694,11012,39697,16894,69812,19432,20078,35364,47074,13699,252480,15039,44941,17165,114700,15325,12966
nº,8239,9403,7085,11338,10477,25205,12177,12821,40759,8823,23184,71741,23017,16150,99252,19291,10048,9668,10966,8071,58110,32337,13840,11293,16873,10003,12884,13129,18040,15484,8301,9617,21419,8507,11193,10801,49272,25072,13891,8096,5331,10511,9699,5711,7735,33063,16550,14249,7828,5535,28618,14613,16179,8395,7903,8344,6183,8055,11187,9761,8121,10114,8760,9588,12618,35050,23148,7718,27189,20243,13206,14923,13825,9988,21028,12956,22200,9544,35089,23092,7780,33846,14848,10253,7113,10341,13711,10429,17362,8185,11444,9472,13611,12730,0,8912,7322,30695,13152,6447,19348,108497,6619,22676,19686,18353,16712,14398,36097,14737,10976,32863,34537,9285,12593,10094,16832,26804,87293,9779,8832,23473,11069,27833,26037,25096,31490,7225,78591,27631,11161,17834,7631,10596,12019,7757,9179,51211,7701,8087,9320,11103,8973,91829,10811,15065,9315,61839,13190,8038
octubre,11687,22296,11527,17421,15417,49150,12886,20130,67685,10921,27138,101308,29787,23965,126476,23250,17587,12200,16012,14136,43070,43768,17259,21520,23111,15325,6046,16549,20841,13037,13001,31621,59779,16372,18574,11417,23972,30909,40278,18155,8523,25433,12560,19857,21013,54457,28614,16165,24404,8079,45403,22571,23146,11702,14836,19689,15798,13173,13306,13808,10183,14095,14155,19191,24302,63765,37037,16161,44777,43074,10680,21384,22643,22717,21867,21961,40429,12205,34551,32525,29088,33553,30307,12939,24166,25821,20057,13831,22478,10663,41919,14615,19349,13569,8912,0,11586,44289,12434,10538,29306,101344,23481,21883,18961,33911,20236,25219,20462,29905,12123,76829,55586,17778,19763,16828,23232,38322,83547,11790,11732,42434,15636,37643,30694,35880,25456,12824,136327,39031,15756,36704,14169,18301,8259,18841,11132,48007,12939,10550,20655,22951,8616,149944,11316,23637,11029,67284,21846,9355
oral,16054,24284,16814,20925,13298,56942,13953,23208,74706,12899,33901,112480,30896,27159,117879,20364,16779,15959,19313,16379,42404,44960,17986,24036,27654,17482,7208,13641,21313,12549,13377,35950,70302,20856,20120,10059,24802,35647,41255,20211,10374,29529,13897,16182,23241,60339,26247,17715,26031,10261,51085,21319,26572,15012,19411,20801,16843,15897,14204,14764,11389,15423,17258,21782,25637,42487,46924,17028,56344,51936,11703,20283,35065,25532,21792,25440,56462,15813,35533,36806,26557,35996,34233,12382,18176,16260,18750,15086,23506,14025,40640,18196,20415,14346,7322,11586,0,50733,16448,13114,34232,106081,23198,19529,16453,33752,22880,32227,24856,24787,14055,73502,77945,23958,22426,18212,23075,39164,84693,12520,12384,42455,12728,41296,34258,40056,28079,13458,158015,43715,14029,43550,17302,19321,9041,21315,11535,51010,11327,12710,18200,25455,13038,173696,12649,33600,14034,66477,16283,19493
parte,61800,115846,69160,93601,63506,273504,60320,97920,327230,56929,142827,498643,142148,125134,517948,97675,72344,65014,95906,68934,182820,196235,85180,114872,114823,71972,27635,57192,104197,56201,61315,182428,302916,89349,87417,49226,94870,152579,212601,99766,40895,144645,59555,68942,98954,297789,143121,75702,131760,35825,236108,93265,120625,56900,80999,109051,87373,70519,58223,64075,50371,71868,79237,101365,122625,144696,200875,92047,247610,246976,42913,100864,123375,115337,84658,95420,189791,64435,140658,167486,161927,149911,163562,46599,88245,54690,73286,66085,109365,55012,232572,76123,100840,73754,30695,44289,50733,0,60906,49377,169012,441175,133371,101265,82112,165111,90254,129586,86772,85192,52219,323968,305474,102658,103160,89417,89366,191047,366413,54141,56557,206068,74426,180203,148178,167134,112365,64891,696643,198572,65784,208645,82089,86453,33615,102830,53572,214713,54901,56627,94071,130709,46757,737493,49169,131723,55030,313716,57361,58389
partes,18827,30475,20598,27340,15864,73009,17411,28810,91585,16888,43847,140560,36754,35116,142999,25329,19535,21325,24577,20807,58083,55995,23974,32479,34771,21381,11230,16934,26892,15307,16657,44240,80939,26775,24553,12880,37213,47616,48574,25282,12402,35278,16078,17263,26031,76573,34499,22989,31073,11873,64716,25807,34028,18983,24877,25840,19556,19494,18693,17559,14242,20866,22618,26749,33618,43070,60181,22248,69592,67395,14366,25644,40836,30160,27858,31115,59000,22158,45263,46384,33213,47766,44670,13662,20726,16119,21900,19548,30747,16762,50494,21415,27495,19669,13152,12434,16448,60906,0,14817,44210,138532,28164,24967,22246,40415,27640,40826,33584,27607,17007,86870,91683,27845,28359,24098,27097,46970,106671,17311,16026,53039,15144,53606,45886,47313,35854,16269,194226,56886,17618,53176,20962,25946,11850,28912,15783,64668,13314,17031,21307,32814,16718,215443,16183,41679,17900,84735,16907,20401
particular,14406,27918,17063,21271,13244,58755,13378,22411,73899,12933,32877,112647,31358,28130,115995,20993,16827,15402,20860,15834,43090,44637,19724,26515,26612,16269,6952,13225,21773,12034,13365,40545,68178,20654,19606,10660,22785,34385,43453,21543,9820,29622,12631,15429,21801,66198,31986,17482,26912,9112,51000,20533,26539,13300,18535,23007,17950,15775,13603,14373,11233,15990,17550,21643,27397,38585,45999,19269,55056,55618,11106,21989,31836,25191,20091,21886,45450,15559,34409,36440,33105,35099,35339,12173,20196,14459,17212,14799,25032,12604,46503,16290,22389,15398,6447,10538,13114,49377,14817,0,37681,103878,27317,20871,17838,35632,21315,30049,20208,21710,12138,72150,67419,22699,21640,19824,21272,39924,83370,13520,12481,43996,14398,40086,33199,37775,27128,13674,156821,43612,14125,43875,17655,19731,8226,23546,11703,48983,11525,13489,19948,28168,11154,170226,11930,29220,12928,67665,15003,14620
pena,48767,99286,60644,82254,48798,244463,52294,81666,264737,48946,122883,423326,133788,117587,402470,72943,82642,52772,81541,62059,130143,161600,78784,109809,91043,60245,27899,41420,79872,41041,48929,193033,241173,77918,83872,39687,78925,135160,188737,86351,32222,122907,42715,50015,84506,278939,143027,61246,108916,24096,196136,72085,99409,48125,69268,98181,74763,59935,46976,53778,39878,56762,68349,88686,106606,81279,183407,85860,217837,224217,36421,80456,107084,93782,63152,79509,140239,47237,91212,140352,166446,120059,142879,31244,75417,32494,53367,52706,90598,48284,209767,56451,87018,65611,19348,29306,34232,169012,44210,37681,0,369773,126857,76915,61679,137225,70510,100875,68772,54424,40511,269504,228853,84789,89152,74804,65345,150500,269007,46928,42074,180962,57171,134011,121331,133221,83526,53957,586509,167950,49720,180943,70317,74675,24635,96111,41016,159919,42220,50691,80261,115097,36014,604210,35113,98876,43168,249677,33984,36310
penal,125315,234608,146488,197225,130491,546577,130133,206025,675782,122186,313823,1052890,294055,270241,1114096,208639,167923,144372,192737,146584,443034,426642,191634,258851,244712,155860,78251,126348,213664,128759,125714,360643,572096,182035,181387,106198,300083,338575,399951,194972,85060,271261,116285,136433,189229,635761,299278,169924,242608,77263,480778,196029,253406,124973,180738,215063,160623,143789,131864,133719,108273,151752,160781,198370,249555,346807,412003,183000,518494,513038,111177,203891,282652,220731,198559,212097,394781,145978,327293,350182,314337,345802,331525,100279,181505,129457,160366,140913,236780,120291,427233,152666,214037,153442,108497,101344,106081,441175,138532,103878,369773,0,253452,217061,179027,324399,200229,277072,247788,196333,116225,666484,611011,196534,213085,185343,197687,372586,819396,119511,114322,415392,139543,368267,319005,352179,272470,131311,1433585,418316,135815,406405,159410,187512,85405,219273,113803,476068,108681,125286,184185,281667,106402,1549005,114925,274135,123228,671166,130748,127558
persona,32116,98911,43171,65732,45053,201098,35019,58188,212666,36571,80785,322893,96863,95237,312513,56405,50488,39556,71318,47985,73139,123387,61041,88453,66190,44324,8571,34995,66135,31569,38424,151870,193879,54730,58680,31148,36500,95363,183619,78793,19869,112263,32995,47639,76491,233821,117823,42384,101630,10853,170523,57628,80919,27303,55046,94138,74090,43670,26799,41315,30328,41339,53337,71133,87334,54107,119461,80099,175747,198925,12293,62226,70985,73019,39431,47575,104316,32226,51446,110298,165012,75432,125818,19422,73446,24631,39832,41238,75438,33131,206321,47598,71368,54219,6619,23481,23198,133371,28164,27317,126857,253452,0,66062,43836,121935,46308,78741,37221,35632,25837,238894,183030,71613,76245,65002,46654,120108,191147,27257,33882,160009,54426,96929,82838,103192,50843,47992,486307,133521,42026,164281,63380,57393,12104,81923,28318,106352,33350,34743,73490,102332,19596,457356,17567,76548,28525,195954,23560,22356
precedente,28977,54262,28999,42830,33853,129415,30278,45239,157254,26575,66136,237077,73822,56866,276809,57368,32416,29117,44126,29330,113549,92077,41603,48247,50097,34307,13561,27506,61951,43145,27662,85134,143869,36704,40684,28939,52289,68897,107741,47965,18681,71278,34122,32042,47531,140485,68058,38671,66756,15268,110461,46017,59245,24266,33957,52286,43796,32749,30080,31045,26267,35547,36550,47506,56356,58820,94746,44538,112971,111092,21359,58106,45359,55908,41565,32638,81001,26263,76823,82018,81282,72239,75412,23057,40243,19280,32828,32220,52921,25271,123078,35906,50798,39037,22676,21883,19529,101265,24967,20871,76915,217061,66062,0,53041,79563,42760,58796,44965,35066,25471,146656,133468,45450,47575,41549,39970,108782,206584,25884,28742,100759,47011,81997,74592,84106,60759,32223,320939,92360,35509,96247,38434,40508,18525,45251,27478,113396,30993,25858,48721,62247,18124,342133,24595,57107,23242,184780,25363,19394
precedentes,25304,38572,24180,34314,27179,101274,25255,37820,127606,21195,56801,191558,61121,43276,223392,50546,25208,23870,32675,23923,101877,72322,33218,37231,41083,28023,13835,21936,49369,32869,22617,63868,117971,30721,32803,23949,46775,55998,79035,35137,15738,54203,29239,23689,36567,104692,49533,31956,49837,14451,86664,36881,45246,21463,27142,38131,31175,28153,25673,24871,21794,29700,30495,37819,45672,51446,81965,31816,87260,85016,21190,49133,37369,45623,36547,27013,67575,23277,70145,64487,54908,63258,58360,20867,29471,14954,27182,25658,41413,20992,89198,29601,40236,31746,19686,18961,16453,82112,22246,17838,61679,179027,43836,53041,0,60126,36705,47129,39450,30845,21739,112432,106242,35353,34889,32773,33665,88136,175322,24649,23409,75929,37974,69801,64270,68627,52827,24638,251018,72836,28448,70738,28035,33381,16941,34873,22343,95796,29122,22237,37461,45766,15821,281086,23102,46088,19774,150797,21731,16614
presente,43826,99145,50851,72789,52388,216599,45523,73668,250934,43443,102740,382159,113129,100397,397436,74206,59655,47066,77993,53522,118982,153959,67624,93065,83304,54205,16334,45450,80146,41159,47078,153316,233851,65193,68711,38848,58290,116224,183710,82409,28610,118726,44185,56780,81362,244819,124043,55399,108843,22993,187535,74296,93752,40556,60850,94344,74618,52231,39888,49588,38211,52887,61119,79284,96589,105246,145807,78608,192368,200686,24931,78076,86245,89031,60006,65199,133592,43682,94476,128973,149304,106394,131250,32439,76993,43811,55475,49307,84188,40661,204256,56944,79997,59077,18353,33911,33752,165111,40415,35632,137225,324399,121935,79563,60126,0,63489,95351,56968,61578,36610,268741,217851,78975,82507,71513,65795,146394,263859,38131,42954,171169,62462,130407,107306,126411,77630,52743,543265,155373,51495,173407,66585,66617,21064,84118,37854,153424,42339,41548,79684,108038,29736,551500,32061,93529,38107,239494,41585,36958
previsto,32044,43082,29577,37199,25416,108342,26312,41905,137639,23939,63207,219155,61415,49280,223905,41181,30840,27545,35693,28749,89134,80920,36884,45392,50064,30031,15567,24347,42785,25611,25021,72069,130932,37326,36755,21172,49595,64463,78353,37873,18885,59005,25958,27296,39263,120988,51397,33735,50726,17812,95403,38438,50069,25889,33167,39301,31254,30085,27419,27221,21626,30432,32253,40680,48406,66346,88736,33300,101510,94405,22905,42388,56081,53025,39676,40608,82535,28672,68584,68626,54306,69740,63356,20946,32279,24326,32038,27417,44666,23234,84615,31768,40795,29145,16712,20236,22880,90254,27640,21315,70510,200229,46308,42760,36705,63489,0,54626,44022,37588,23497,127605,126777,41695,39728,35349,38791,80806,168211,23739,24303,80350,29035,77561,64912,73094,53541,24787,285579,79324,27516,77060,31677,36291,17470,38401,23165,97993,22414,25186,35698,50330,22850,311549,23179,56042,24878,135193,26244,28613
principio,38145,79522,43688,60532,37155,172428,33699,60735,204950,36572,95060,307626,82599,79229,310997,55826,43163,45474,56126,42770,104937,121698,53132,74980,71591,47369,15761,36375,59338,34310,36110,111326,185994,55230,53858,27781,57923,101172,132183,61435,24847,87565,35354,38900,61175,186366,85481,46315,78026,22247,149363,56821,77606,37546,55405,66514,50281,43111,37607,38010,31349,45171,49000,60854,76661,70375,126091,56382,159536,166014,26657,59008,85884,67309,51954,61072,127043,47472,82388,103255,94455,94366,106405,26733,51949,27159,42232,45381,68195,34818,139863,46919,63520,43245,14398,25219,32227,129586,40826,30049,100875,277072,78741,58796,47129,95351,54626,0,53167,52756,32231,199708,191745,61642,66924,54775,52661,107887,209183,33276,35478,125813,38920,112269,99963,100754,66824,38344,437422,125046,42089,127379,50128,60103,19183,68310,34194,132332,31482,36260,53380,85722,30191,466350,30982,85552,34956,188902,29344,37107
procedimiento,24471,36298,26160,37027,25154,97388,27812,38550,133206,23713,68512,210854,61344,50168,225882,42663,30238,27994,34023,29152,110929,81120,37141,40594,51176,30151,21961,27035,42457,29360,23857,55109,105100,33231,33784,23559,89815,68913,68538,32599,18252,47485,26676,21150,34470,108115,47897,37277,39908,18239,99536,44326,48754,25902,31009,35125,25442,26381,28647,28258,21807,28521,30071,35388,45872,70386,77667,30115,92069,83722,28224,40153,58818,39472,45663,46197,76278,27439,79960,69224,45637,76298,57994,20448,27632,23905,37549,26652,45642,23116,64012,29804,40523,31721,36097,20462,24856,86772,33584,20208,68772,247788,37221,44965,39450,56968,44022,53167,0,41623,29297,124555,112611,35090,40753,34483,44475,71022,195906,25745,20513,71204,28388,74947,61246,75624,63793,23193,267180,81431,25298,70461,27126,34488,23166,37448,21462,102700,20550,23521,30290,43155,25304,288970,25349,51013,26844,141986,27043,32208
procesal,20190,42234,22088,35054,25249,83717,24059,39708,128269,18696,53951,194350,52106,46600,231358,37257,36998,26947,28595,27390,84339,91345,31140,42555,46148,31742,11832,32426,32947,21632,23070,55664,117434,32555,36764,18237,42789,64669,63441,33582,16897,40846,22591,43353,38651,92489,51230,31883,38708,17781,88438,48776,38804,22651,30563,34066,25026,21212,28828,26096,19301,27721,25791,33110,48988,153493,68116,28407,83480,82078,19037,34455,53764,41087,47811,49692,81550,26930,71343,57155,43706,65469,55789,26766,51373,66048,43094,27111,43079,21553,62836,28019,37127,24416,14737,29905,24787,85192,27607,21710,54424,196333,35632,35066,30845,61578,37588,52756,41623,0,26336,153412,105258,30185,38446,32863,49718,63633,164468,24680,22342,73733,23895,76856,62577,67489,49537,22510,254307,79168,28927,64614,25971,38420,16408,40249,21928,86490,19088,18177,36863,37209,18694,297497,24219,45338,22475,107823,51446,25963
procesales,14621,24280,15551,21982,14854,59957,16073,23964,79090,12940,34558,121465,34779,29074,129104,24092,18308,16139,20666,16314,56940,47281,20073,25123,29097,18190,8638,15403,24389,15743,14250,39090,71751,21134,21253,13231,29860,38321,44910,21829,10568,31053,16470,15870,22853,64222,30056,19162,28585,10126,56176,26188,27349,14912,19117,23109,18111,15322,16444,15769,12364,18293,18574,23137,29077,41556,49329,19531,56334,53691,12808,24858,31486,26013,24064,24082,47720,15938,42908,38935,31546,39467,36686,12400,19557,15204,20035,15981,26415,13912,47383,18390,23383,18127,10976,12123,14055,52219,17007,12138,40511,116225,25837,25471,21739,36610,23497,32231,29297,26336,0,75938,72568,22572,23443,21054,24235,46927,102933,14551,12894,45709,18523,43234,37813,42322,32320,14500,160790,48499,15161,44921,17657,20775,10939,23951,12756,56446,12950,12376,21596,26978,12653,178955,13772,31545,14377,78719,16359,16421
proceso,84831,204500,101119,148420,104105,426443,88103,147513,506989,85086,206577,766350,224703,207774,802625,139222,126383,98967,147407,114002,226169,313546,135337,193017,167372,112938,34685,101255,146960,78429,92405,300397,467192,129789,142955,72570,123436,242169,375546,163762,55553,231591,85724,123988,175306,474938,249674,112339,207654,43581,387387,154626,182131,79384,127767,186659,143749,100640,82334,99990,74658,102618,119933,157932,196347,271720,291473,156952,380151,409077,45950,144858,178750,172773,129368,148483,286003,90826,179358,252520,295574,214621,268393,67000,171962,116824,119639,102214,173149,80312,395349,112412,157163,117114,32863,76829,73502,323968,86870,72150,269504,666484,238894,146656,112432,268741,127605,199708,124555,153412,75938,0,441271,155766,169623,140466,141795,271607,512539,76243,86146,344273,113287,263088,220778,253115,145682,103512,1100843,314204,109639,339348,130392,142508,41461,174218,74054,290952,79055,81556,158235,205385,59612,1114591,61822,187027,75221,457909,100564,65178
prueba,96289,159977,111339,140592,84449,421380,81101,146719,479443,84630,212858,696345,188435,182810,706719,128315,93056,105393,133686,102131,241687,271629,118523,177625,164113,105842,42536,70274,146287,76498,86767,260577,424654,136313,124124,62206,131175,221697,294103,142616,60550,210453,78420,97752,141516,421943,186861,105825,190155,49623,322716,118228,175525,88531,137360,155832,120891,108866,82401,84425,78098,106651,119139,146532,174394,154452,310537,134846,374156,382143,53425,138968,196522,162720,113275,142873,307088,103566,177734,237953,223121,214214,249460,64330,115435,60074,94545,96382,155108,84292,328426,114458,140981,103435,34537,55586,77945,305474,91683,67419,228853,611011,183030,133468,106242,217851,126777,191745,112611,105258,72568,441271,0,161647,147295,125668,120238,256194,480026,76773,81819,296968,85553,248198,228576,240445,151498,90939,1043661,284144,88842,302497,117624,131464,45024,156835,79647,301668,73344,88337,120532,188488,76555,1123422,69342,245477,86223,431352,65308,93300
pruebas,32477,60234,36458,48561,30016,143545,26826,46791,159908,28036,67953,237162,69527,64573,233284,42167,32000,32885,47479,36121,71538,90080,41977,60414,52902,34147,12432,24068,49512,24558,28825,95669,146111,44428,42925,22130,38706,73719,110497,51364,18404,74598,27055,32251,49810,151808,70716,34821,67554,14104,113159,39197,59358,27095,43475,56943,45036,35388,24297,29623,24144,33807,41133,51053,59588,43510,105400,48810,125028,132734,14595,46177,58125,56774,35668,44893,94073,31383,53025,80754,88521,68957,85406,19764,42388,17200,30385,32013,52128,27093,122937,37597,48778,36936,9285,17778,23958,102658,27845,22699,84789,196534,71613,45450,35353,78975,41695,61642,35090,30185,22572,155766,161647,0,51102,44059,37814,88231,155148,24690,27606,106894,33458,81860,71068,80081,46969,31553,355469,95704,30279,108724,42350,42979,13293,53577,24006,94754,24507,28435,44121,65716,22920,359538,20123,72822,26525,144819,18990,24255
puede,27283,65354,33109,47848,31321,141009,26732,46721,158927,28222,69793,241207,68425,67078,242943,43400,36643,33065,49863,35375,71630,97684,42841,63096,54187,36053,10704,28874,48718,25407,29405,96283,143936,42241,44539,23046,41186,79024,116486,52881,17492,74122,26532,33891,52494,157374,76837,34892,65832,13591,123500,45445,61192,26003,42746,60198,46433,33632,26070,30910,24477,33739,38309,50255,61975,56891,94270,51381,130144,136922,15560,45327,60397,53388,37307,46014,89840,32072,53840,82756,93729,67804,86716,18477,47146,24847,33471,33495,55607,27182,126062,36132,50785,36909,12593,19763,22426,103160,28359,21640,89152,213085,76245,47575,34889,82507,39728,66924,40753,38446,23443,169623,147295,51102,0,45624,40739,86671,158126,23654,27083,108789,34421,81105,72116,79242,46519,33112,353771,102563,33247,112145,42808,44881,13399,56166,24877,94179,24789,27247,47390,71291,20319,356671,20121,64525,25163,146415,23133,24201
